English Variable,Category,Sub-Category,Measurement,Formatted
Water Heater Final Tank Temperature,Water Heater,,Final Tank Temperature,Water Heater: Final Tank Temperature
Water Heater Final Temperature Node 1,Water Heater,,Final Temperature Node 1,Water Heater: Final Temperature Node 1
Water Heater Final Temperature Node 10,Water Heater,,Final Temperature Node 10,Water Heater: Final Temperature Node 10
Water Heater Final Temperature Node 11,Water Heater,,Final Temperature Node 11,Water Heater: Final Temperature Node 11
Water Heater Final Temperature Node 12,Water Heater,,Final Temperature Node 12,Water Heater: Final Temperature Node 12
Water Heater Final Temperature Node 2,Water Heater,,Final Temperature Node 2,Water Heater: Final Temperature Node 2
Water Heater Final Temperature Node 3,Water Heater,,Final Temperature Node 3,Water Heater: Final Temperature Node 3
Water Heater Final Temperature Node 4,Water Heater,,Final Temperature Node 4,Water Heater: Final Temperature Node 4
Water Heater Final Temperature Node 5,Water Heater,,Final Temperature Node 5,Water Heater: Final Temperature Node 5
Water Heater Final Temperature Node 6,Water Heater,,Final Temperature Node 6,Water Heater: Final Temperature Node 6
Water Heater Final Temperature Node 7,Water Heater,,Final Temperature Node 7,Water Heater: Final Temperature Node 7
Water Heater Final Temperature Node 8,Water Heater,,Final Temperature Node 8,Water Heater: Final Temperature Node 8
Water Heater Final Temperature Node 9,Water Heater,,Final Temperature Node 9,Water Heater: Final Temperature Node 9
Water Heater FuelOilNo1 Energy,Water Heater,,FuelOilNo1 Energy,Water Heater: FuelOilNo1 Energy
Water Heater FuelOilNo1 Rate,Water Heater,,FuelOilNo1 Rate,Water Heater: FuelOilNo1 Rate
Water Heater FuelOilNo2 Energy,Water Heater,,FuelOilNo2 Energy,Water Heater: FuelOilNo2 Energy
Water Heater FuelOilNo2 Rate,Water Heater,,FuelOilNo2 Rate,Water Heater: FuelOilNo2 Rate
Water Heater Gasoline Energy,Water Heater,,Gasoline Energy,Water Heater: Gasoline Energy
Water Heater Gasoline Rate,Water Heater,,Gasoline Rate,Water Heater: Gasoline Rate
Water Heater Heat Loss Energy,Water Heater,,Heat Loss Energy,Water Heater: Heat Loss Energy
Water Heater Heat Loss Rate,Water Heater,,Heat Loss Rate,Water Heater: Heat Loss Rate
Water Heater Heater 1 Cycle On Count,Water Heater,,Heater 1 Cycle On Count,Water Heater: Heater 1 Cycle On Count
Water Heater Heater 1 Heating Energy,Water Heater,,Heater 1 Heating Energy,Water Heater: Heater 1 Heating Energy
Water Heater Heater 1 Heating Rate,Water Heater,,Heater 1 Heating Rate,Water Heater: Heater 1 Heating Rate
Water Heater Heater 1 Runtime Fraction,Water Heater,,Heater 1 Runtime Fraction,Water Heater: Heater 1 Runtime Fraction
Water Heater Heater 2 Cycle On Count,Water Heater,,Heater 2 Cycle On Count,Water Heater: Heater 2 Cycle On Count
Water Heater Heater 2 Heating Energy,Water Heater,,Heater 2 Heating Energy,Water Heater: Heater 2 Heating Energy
Water Heater Heater 2 Heating Rate,Water Heater,,Heater 2 Heating Rate,Water Heater: Heater 2 Heating Rate
Water Heater Heater 2 Runtime Fraction,Water Heater,,Heater 2 Runtime Fraction,Water Heater: Heater 2 Runtime Fraction
Water Heater Heating Energy,Water Heater,,Heating Energy,Water Heater: Heating Energy
Water Heater Heating Rate,Water Heater,,Heating Rate,Water Heater: Heating Rate
Water Heater NaturalGas Energy,Water Heater,,NaturalGas Energy,Water Heater: NaturalGas Energy
Water Heater NaturalGas Rate,Water Heater,,NaturalGas Rate,Water Heater: NaturalGas Rate
Water Heater Net Heat Transfer Energy,Water Heater,,Net Heat Transfer Energy,Water Heater: Net Heat Transfer Energy
Water Heater Net Heat Transfer Rate,Water Heater,,Net Heat Transfer Rate,Water Heater: Net Heat Transfer Rate
Water Heater Off Cycle Parasitic Tank Heat Transfer Energy,Water Heater,,Off Cycle Parasitic Tank Heat Transfer Energy,Water Heater: Off Cycle Parasitic Tank Heat Transfer Energy
Water Heater Off Cycle Parasitic Tank Heat Transfer Rate,Water Heater,,Off Cycle Parasitic Tank Heat Transfer Rate,Water Heater: Off Cycle Parasitic Tank Heat Transfer Rate
Water Heater On Cycle Parasitic Tank Heat Transfer Energy,Water Heater,,On Cycle Parasitic Tank Heat Transfer Energy,Water Heater: On Cycle Parasitic Tank Heat Transfer Energy
Water Heater On Cycle Parasitic Tank Heat Transfer Rate,Water Heater,,On Cycle Parasitic Tank Heat Transfer Rate,Water Heater: On Cycle Parasitic Tank Heat Transfer Rate
Water Heater OtherFuel1 Energy,Water Heater,,OtherFuel1 Energy,Water Heater: OtherFuel1 Energy
Water Heater OtherFuel1 Rate,Water Heater,,OtherFuel1 Rate,Water Heater: OtherFuel1 Rate
Water Heater OtherFuel2 Energy,Water Heater,,OtherFuel2 Energy,Water Heater: OtherFuel2 Energy
Water Heater OtherFuel2 Rate,Water Heater,,OtherFuel2 Rate,Water Heater: OtherFuel2 Rate
Water Heater Part Load Ratio,Water Heater,,Part Load Ratio,Water Heater: Part Load Ratio
Water Heater Propane Energy,Water Heater,,Propane Energy,Water Heater: Propane Energy
Water Heater Propane Rate,Water Heater,,Propane Rate,Water Heater: Propane Rate
Water Heater Runtime Fraction,Water Heater,,Runtime Fraction,Water Heater: Runtime Fraction
Water Heater Source Side Heat Transfer Energy,Water Heater,,Source Side Heat Transfer Energy,Water Heater: Source Side Heat Transfer Energy
Water Heater Source Side Heat Transfer Rate,Water Heater,,Source Side Heat Transfer Rate,Water Heater: Source Side Heat Transfer Rate
Water Heater Source Side Inlet Temperature,Water Heater,,Source Side Inlet Temperature,Water Heater: Source Side Inlet Temperature
Water Heater Source Side Mass Flow Rate,Water Heater,,Source Side Mass Flow Rate,Water Heater: Source Side Mass Flow Rate
Water Heater Source Side Outlet Temperature,Water Heater,,Source Side Outlet Temperature,Water Heater: Source Side Outlet Temperature
Water Heater Tank Temperature,Water Heater,,Tank Temperature,Water Heater: Tank Temperature
Water Heater Temperature Node 1,Water Heater,,Temperature Node 1,Water Heater: Temperature Node 1
Water Heater Temperature Node 10,Water Heater,,Temperature Node 10,Water Heater: Temperature Node 10
Water Heater Temperature Node 11,Water Heater,,Temperature Node 11,Water Heater: Temperature Node 11
Water Heater Temperature Node 12,Water Heater,,Temperature Node 12,Water Heater: Temperature Node 12
Water Heater Temperature Node 2,Water Heater,,Temperature Node 2,Water Heater: Temperature Node 2
Water Heater Temperature Node 3,Water Heater,,Temperature Node 3,Water Heater: Temperature Node 3
Water Heater Temperature Node 4,Water Heater,,Temperature Node 4,Water Heater: Temperature Node 4
Water Heater Temperature Node 5,Water Heater,,Temperature Node 5,Water Heater: Temperature Node 5
Water Heater Temperature Node 6,Water Heater,,Temperature Node 6,Water Heater: Temperature Node 6
Water Heater Temperature Node 7,Water Heater,,Temperature Node 7,Water Heater: Temperature Node 7
Water Heater Temperature Node 8,Water Heater,,Temperature Node 8,Water Heater: Temperature Node 8
Water Heater Temperature Node 9,Water Heater,,Temperature Node 9,Water Heater: Temperature Node 9
Water Heater Total Demand Energy,Water Heater,,Total Demand Energy,Water Heater: Total Demand Energy
Water Heater Total Demand Heat Transfer Rate,Water Heater,,Total Demand Heat Transfer Rate,Water Heater: Total Demand Heat Transfer Rate
Water Heater Unmet Demand Heat Transfer Energy,Water Heater,,Unmet Demand Heat Transfer Energy,Water Heater: Unmet Demand Heat Transfer Energy
Water Heater Unmet Demand Heat Transfer Rate,Water Heater,,Unmet Demand Heat Transfer Rate,Water Heater: Unmet Demand Heat Transfer Rate
Water Heater Use Side Heat Transfer Energy,Water Heater,,Use Side Heat Transfer Energy,Water Heater: Use Side Heat Transfer Energy
Water Heater Use Side Heat Transfer Rate,Water Heater,,Use Side Heat Transfer Rate,Water Heater: Use Side Heat Transfer Rate
Water Heater Use Side Inlet Temperature,Water Heater,,Use Side Inlet Temperature,Water Heater: Use Side Inlet Temperature
Water Heater Use Side Mass Flow Rate,Water Heater,,Use Side Mass Flow Rate,Water Heater: Use Side Mass Flow Rate
Water Heater Use Side Outlet Temperature,Water Heater,,Use Side Outlet Temperature,Water Heater: Use Side Outlet Temperature
Water Heater Venting Heat Transfer Energy,Water Heater,,Venting Heat Transfer Energy,Water Heater: Venting Heat Transfer Energy
Water Heater Venting Heat Transfer Rate,Water Heater,,Venting Heat Transfer Rate,Water Heater: Venting Heat Transfer Rate
Water Heater Water Volume,Water Heater,,Water Volume,Water Heater: Water Volume
Water Heater Water Volume Flow Rate,Water Heater,,Water Volume Flow Rate,Water Heater: Water Volume Flow Rate
Water Use Connections Cold Water Mass Flow Rate,Water Use Connections,,Cold Water Mass Flow Rate,Water Use Connections: Cold Water Mass Flow Rate
Water Use Connections Cold Water Temperature,Water Use Connections,,Cold Water Temperature,Water Use Connections: Cold Water Temperature
Water Use Connections Cold Water Volume,Water Use Connections,,Cold Water Volume,Water Use Connections: Cold Water Volume
Water Use Connections Cold Water Volume Flow Rate,Water Use Connections,,Cold Water Volume Flow Rate,Water Use Connections: Cold Water Volume Flow Rate
Water Use Connections Drain Water Mass Flow Rate,Water Use Connections,,Drain Water Mass Flow Rate,Water Use Connections: Drain Water Mass Flow Rate
Water Use Connections Drain Water Temperature,Water Use Connections,,Drain Water Temperature,Water Use Connections: Drain Water Temperature
Water Use Connections Heat Recovery Effectiveness,Water Use Connections,,Heat Recovery Effectiveness,Water Use Connections: Heat Recovery Effectiveness
Water Use Connections Heat Recovery Energy,Water Use Connections,,Heat Recovery Energy,Water Use Connections: Heat Recovery Energy
Water Use Connections Heat Recovery Mass Flow Rate,Water Use Connections,,Heat Recovery Mass Flow Rate,Water Use Connections: Heat Recovery Mass Flow Rate
Water Use Connections Heat Recovery Rate,Water Use Connections,,Heat Recovery Rate,Water Use Connections: Heat Recovery Rate
Water Use Connections Heat Recovery Water Temperature,Water Use Connections,,Heat Recovery Water Temperature,Water Use Connections: Heat Recovery Water Temperature
Water Use Connections Hot Water Mass Flow Rate,Water Use Connections,,Hot Water Mass Flow Rate,Water Use Connections: Hot Water Mass Flow Rate
Water Use Connections Hot Water Temperature,Water Use Connections,,Hot Water Temperature,Water Use Connections: Hot Water Temperature
Water Use Connections Hot Water Volume,Water Use Connections,,Hot Water Volume,Water Use Connections: Hot Water Volume
Water Use Connections Hot Water Volume Flow Rate,Water Use Connections,,Hot Water Volume Flow Rate,Water Use Connections: Hot Water Volume Flow Rate
Water Use Connections Plant Hot Water Energy,Water Use Connections,,Plant Hot Water Energy,Water Use Connections: Plant Hot Water Energy
Water Use Connections Return Water Temperature,Water Use Connections,,Return Water Temperature,Water Use Connections: Return Water Temperature
Water Use Connections Total Mass Flow Rate,Water Use Connections,,Total Mass Flow Rate,Water Use Connections: Total Mass Flow Rate
Water Use Connections Total Volume,Water Use Connections,,Total Volume,Water Use Connections: Total Volume
Water Use Connections Total Volume Flow Rate,Water Use Connections,,Total Volume Flow Rate,Water Use Connections: Total Volume Flow Rate
Water Use Connections Waste Water Temperature,Water Use Connections,,Waste Water Temperature,Water Use Connections: Waste Water Temperature
Zone Air CO2 Concentration,Zone,Air,CO2 Concentration,Zone: Air: CO2 Concentration
Zone Air CO2 Internal Gain Volume Flow Rate,Zone,Air,CO2 Internal Gain Volume Flow Rate,Zone: Air: CO2 Internal Gain Volume Flow Rate
Zone Air Generic Air Contaminant Concentration,Zone,Air,Generic Air Contaminant Concentration,Zone: Air: Generic Air Contaminant Concentration
Zone Air Heat Balance Air Energy Storage Rate,Zone,Air Heat Balance,Air Energy Storage Rate,Zone: Air Heat Balance: Air Energy Storage Rate
Zone Air Heat Balance Deviation Rate,Zone,Air Heat Balance,Deviation Rate,Zone: Air Heat Balance: Deviation Rate
Zone Air Heat Balance Internal Convective Heat Gain Rate,Zone,Air Heat Balance,Internal Convective Heat Gain Rate,Zone: Air Heat Balance: Internal Convective Heat Gain Rate
Zone Air Heat Balance Interzone Air Transfer Rate,Zone,Air Heat Balance,Interzone Air Transfer Rate,Zone: Air Heat Balance: Interzone Air Transfer Rate
Zone Air Heat Balance Outdoor Air Transfer Rate,Zone,Air Heat Balance,Outdoor Air Transfer Rate,Zone: Air Heat Balance: Outdoor Air Transfer Rate
Zone Air Heat Balance Surface Convection Rate,Zone,Air Heat Balance,Surface Convection Rate,Zone: Air Heat Balance: Surface Convection Rate
Zone Air Heat Balance System Air Transfer Rate,Zone,Air Heat Balance,System Air Transfer Rate,Zone: Air Heat Balance: System Air Transfer Rate
Zone Air Heat Balance System Convective Heat Gain Rate,Zone,Air Heat Balance,System Convective Heat Gain Rate,Zone: Air Heat Balance: System Convective Heat Gain Rate
Zone Air Humidity Ratio,Zone,Air,Humidity Ratio,Zone: Air: Humidity Ratio
Zone Air Relative Humidity,Zone,Air,Relative Humidity,Zone: Air: Relative Humidity
Zone Air System Sensible Cooling Energy,Zone,Air System,Sensible Cooling Energy,Zone: Air System: Sensible Cooling Energy
Zone Air System Sensible Cooling Rate,Zone,Air System,Sensible Cooling Rate,Zone: Air System: Sensible Cooling Rate
Zone Air System Sensible Heating Energy,Zone,Air System,Sensible Heating Energy,Zone: Air System: Sensible Heating Energy
Zone Air System Sensible Heating Rate,Zone,Air System,Sensible Heating Rate,Zone: Air System: Sensible Heating Rate
Zone Air Temperature,Zone,Air,Temperature,Zone: Air: Temperature
Zone Air Terminal Sensible Cooling Energy,Zone,Air Terminal,Sensible Cooling Energy,Zone: Air Terminal: Sensible Cooling Energy
Zone Air Terminal Sensible Cooling Rate,Zone,Air Terminal,Sensible Cooling Rate,Zone: Air Terminal: Sensible Cooling Rate
Zone Air Terminal Sensible Heating Energy,Zone,Air Terminal,Sensible Heating Energy,Zone: Air Terminal: Sensible Heating Energy
Zone Air Terminal Sensible Heating Rate,Zone,Air Terminal,Sensible Heating Rate,Zone: Air Terminal: Sensible Heating Rate
Zone Dehumidifier Electricity Energy,Zone,Dehumidifier,Electricity Energy,Zone: Dehumidifier: Electricity Energy
Zone Dehumidifier Electricity Rate,Zone,Dehumidifier,Electricity Rate,Zone: Dehumidifier: Electricity Rate
Zone Dehumidifier Off Cycle Parasitic Electricity Energy,Zone,Dehumidifier,Off Cycle Parasitic Electricity Energy,Zone: Dehumidifier: Off Cycle Parasitic Electricity Energy
Zone Dehumidifier Off Cycle Parasitic Electricity Rate,Zone,Dehumidifier,Off Cycle Parasitic Electricity Rate,Zone: Dehumidifier: Off Cycle Parasitic Electricity Rate
Zone Dehumidifier Outlet Air Temperature,Zone,Dehumidifier,Outlet Air Temperature,Zone: Dehumidifier: Outlet Air Temperature
Zone Dehumidifier Part Load Ratio,Zone,Dehumidifier,Part Load Ratio,Zone: Dehumidifier: Part Load Ratio
Zone Dehumidifier Removed Water Mass,Zone,Dehumidifier,Removed Water Mass,Zone: Dehumidifier: Removed Water Mass
Zone Dehumidifier Removed Water Mass Flow Rate,Zone,Dehumidifier,Removed Water Mass Flow Rate,Zone: Dehumidifier: Removed Water Mass Flow Rate
